user_id,signup_date,country,device_type,is_kyc_verified,account_type
U00197,2023-06-09,Germany,Mobile,Yes,Personal
U00198,2022-06-09,Germany,Mobile,Yes,Personal
U00199,2024-04-18,Germany,Desktop,Yes,Personal
U00200,2023-11-30,Australia,Desktop,Yes,Personal
U00201,2022-08-31,Australia,Mobile,Yes,Business
U00202,2022-03-27,India,Desktop,Yes,Personal
U00203,2024-03-06,Australia,Desktop,Yes,Personal
U00204,2023-08-01,Australia,Desktop,Yes,Personal
U00205,2023-11-13,USA,Mobile,Yes,Personal
U00206,2023-07-11,India,Desktop,Yes,Personal
U00207,2023-07-28,USA,Mobile,Yes,Personal
U00208,2023-10-08,UK,Mobile,Yes,Personal
U00209,2024-03-06,UK,Mobile,No,Personal
U00210,2022-01-28,India,Mobile,Yes,Business
U00211,2023-09-12,India,Mobile,Yes,Personal
U00212,2023-07-10,Australia,Mobile,Yes,Personal
U00213,2022-12-06,UK,Desktop,Yes,Personal
U00214,2024-03-08,Canada,Mobile,Yes,Business
U00215,2022-11-27,Germany,Mobile,Yes,Personal
U00216,2023-10-02,Australia,Mobile,Yes,Personal
U00217,2023-05-21,Germany,Mobile,Yes,Personal
U00218,2022-12-14,UK,Mobile,Yes,Business
U00219,2023-04-18,Germany,Mobile,No,Personal
U00220,2022-08-19,Canada,Desktop,Yes,Personal
U00221,2022-07-09,Canada,Desktop,Yes,Personal
U00222,2022-08-13,USA,Mobile,No,Personal
U00223,2023-01-20,India,Mobile,Yes,Personal
U00224,2023-01-12,Germany,Mobile,Yes,Personal
U00225,2022-10-10,Canada,Mobile,Yes,Personal
U00226,2023-09-25,India,Mobile,Yes,Personal
U00227,2023-09-20,India,Desktop,Yes,Business
U00228,2024-01-15,USA,Mobile,Yes,Personal
U00229,2022-09-16,India,Desktop,Yes,Personal
U00230,2022-12-25,India,Mobile,Yes,Personal
U00231,2023-12-11,Australia,Mobile,Yes,Personal
U00232,2023-04-01,UK,Mobile,Yes,Business
U00233,2023-02-15,USA,Mobile,Yes,Personal
U00234,2023-10-11,USA,Mobile,Yes,Business
U00235,2022-11-14,Germany,Mobile,No,Personal
U00236,2023-11-08,India,Mobile,Yes,Personal
U00237,2022-08-13,Germany,Mobile,No,Personal
U00238,2024-03-29,Australia,Mobile,Yes,Personal
U00239,2022-08-22,Canada,Mobile,Yes,Business
U00240,2023-11-15,India,Mobile,Yes,Personal
U00241,2023-10-26,Canada,Mobile,Yes,Personal
U00242,2024-04-06,UK,Mobile,No,Business
U00243,2023-01-09,Australia,Mobile,No,Personal
U00244,2023-11-03,India,Desktop,Yes,Business
U00245,2023-08-31,Germany,Desktop,Yes,Personal
U00246,2023-04-17,Germany,Desktop,Yes,Personal
U00247,2022-08-21,India,Mobile,Yes,Business
U00248,2023-11-23,Germany,Mobile,No,Personal
U00249,2022-04-23,India,Desktop,No,Personal
U00250,2024-04-09,USA,Mobile,Yes,Business
U00251,2023-05-12,Germany,Mobile,Yes,Personal
U00252,2023-03-18,India,Mobile,Yes,Personal
U00253,2023-07-18,India,Mobile,Yes,Personal
U00254,2022-09-25,Germany,Mobile,No,Business
U00255,2023-05-25,USA,Mobile,No,Business
U00256,2024-03-17,Germany,Mobile,Yes,Personal
U00257,2023-01-21,India,Desktop,Yes,Personal
U00258,2023-01-22,USA,Mobile,No,Personal
U00259,2022-04-23,Canada,Mobile,Yes,Personal
U00260,2023-09-05,UK,Desktop,Yes,Personal
U00261,2023-09-17,Germany,Mobile,Yes,Personal
U00262,2022-03-22,Australia,Desktop,Yes,Personal
U00263,2023-11-30,India,Mobile,Yes,Personal
U00264,2022-04-23,USA,Mobile,Yes,Personal
U00265,2022-01-02,USA,Desktop,Yes,Personal
U00266,2023-10-04,Canada,Mobile,Yes,Personal
U00267,2022-08-08,Germany,Mobile,Yes,Personal
U00268,2023-07-20,Australia,Mobile,Yes,Business
U00269,2024-05-04,USA,Mobile,Yes,Personal
U00270,2024-01-06,Canada,Desktop,Yes,Personal
U00271,2022-08-13,India,Mobile,Yes,Personal
U00272,2023-01-20,Canada,Mobile,No,Personal
U00273,2023-02-07,Germany,Desktop,Yes,Personal
U00274,2023-09-30,Canada,Mobile,Yes,Personal
U00275,2022-05-10,USA,Desktop,Yes,Personal
U00276,2022-02-22,USA,Mobile,Yes,Personal
U00277,2023-11-15,UK,Mobile,Yes,Personal
U00278,2023-12-31,Canada,Mobile,No,Personal
U00279,2023-11-03,India,Desktop,Yes,Business
U00280,2023-12-11,Australia,Mobile,No,Personal
U00281,2023-02-20,Australia,Mobile,No,Personal
U00282,2022-09-04,Germany,Mobile,Yes,Personal
U00283,2024-04-15,UK,Mobile,Yes,Personal
U00284,2023-03-15,Canada,Mobile,Yes,Personal
U00285,2022-07-22,India,Desktop,Yes,Personal
U00286,2022-07-03,UK,Mobile,Yes,Business
U00287,2022-05-03,USA,Mobile,No,Personal
U00288,2023-02-05,Germany,Mobile,No,Personal
U00289,2024-02-06,Canada,Mobile,Yes,Personal
U00290,2022-10-21,Australia,Desktop,Yes,Personal
U00291,2022-10-07,India,Mobile,Yes,Personal
U00292,2024-04-16,USA,Desktop,Yes,Business
U00293,2024-06-02,UK,Mobile,Yes,Personal
U00294,2023-09-02,Germany,Desktop,Yes,Personal
U00295,2022-07-17,UK,Mobile,Yes,Personal
U00296,2023-05-26,Australia,Desktop,Yes,Personal
U00297,2024-01-22,UK,Mobile,Yes,Personal
U00298,2022-05-24,India,Desktop,Yes,Personal
U00299,2023-09-01,USA,Mobile,Yes,Personal
U00300,2022-07-20,Canada,Mobile,No,Personal
U00301,2022-05-04,India,Mobile,No,Personal
U00302,2022-07-06,Australia,Desktop,Yes,Personal
U00303,2022-11-22,Germany,Mobile,Yes,Business
U00304,2023-04-09,Australia,Desktop,Yes,Personal
U00305,2022-12-15,Australia,Mobile,Yes,Business
U00306,2024-02-10,UK,Desktop,Yes,Personal
U00307,2023-10-22,Germany,Mobile,Yes,Personal
U00308,2024-02-03,India,Mobile,No,Personal
U00309,2023-02-07,Australia,Mobile,Yes,Business
U00310,2022-12-12,India,Mobile,Yes,Business
U00311,2023-05-26,Canada,Mobile,Yes,Personal
U00312,2022-05-27,UK,Mobile,Yes,Personal
U00313,2022-05-28,India,Desktop,Yes,Personal
U00314,2024-05-13,Germany,Desktop,Yes,Business
U00315,2023-12-12,Australia,Mobile,Yes,Personal
U00316,2024-03-30,Canada,Mobile,No,Business
U00317,2023-05-04,Germany,Mobile,Yes,Business
U00318,2023-10-02,UK,Mobile,Yes,Personal
U00319,2023-07-05,Canada,Mobile,No,Personal
U00320,2022-12-04,Canada,Desktop,Yes,Personal
U00321,2024-05-21,Canada,Desktop,Yes,Personal
U00322,2023-10-03,Australia,Mobile,Yes,Personal
U00323,2024-02-18,USA,Mobile,Yes,Personal
U00324,2023-04-18,Canada,Mobile,Yes,Personal
U00325,2022-05-31,Germany,Desktop,No,Personal
U00326,2023-02-19,Germany,Mobile,Yes,Personal
U00327,2022-10-25,UK,Mobile,No,Personal
U00328,2023-09-03,India,Desktop,Yes,Business
U00329,2022-09-20,India,Mobile,Yes,Personal
U00330,2024-02-03,USA,Mobile,Yes,Business
U00331,2022-05-24,Australia,Mobile,Yes,Personal
U00332,2022-12-12,Australia,Desktop,Yes,Personal
U00333,2023-09-16,Canada,Mobile,No,Personal
U00334,2023-07-26,USA,Desktop,Yes,Personal
U00335,2024-05-30,UK,Desktop,Yes,Personal
U00336,2022-01-02,UK,Desktop,No,Personal
U00337,2024-06-15,India,Mobile,Yes,Personal
U00338,2022-10-31,UK,Desktop,Yes,Business
U00339,2022-09-11,Canada,Mobile,Yes,Business
U00340,2023-10-14,Germany,Mobile,No,Personal
U00341,2023-03-29,UK,Mobile,Yes,Personal
U00342,2022-02-06,USA,Mobile,No,Personal
U00343,2022-06-09,Canada,Desktop,Yes,Personal
U00344,2022-01-09,UK,Desktop,Yes,Personal
U00345,2022-08-21,Australia,Mobile,Yes,Personal
U00346,2022-04-09,UK,Desktop,Yes,Business
U00347,2023-10-21,Australia,Desktop,Yes,Business
U00348,2024-03-26,Canada,Desktop,Yes,Business
U00349,2022-07-27,UK,Mobile,No,Personal
U00350,2022-05-11,Australia,Mobile,Yes,Personal
U00351,2023-02-08,Germany,Mobile,No,Business
U00352,2022-06-01,India,Mobile,Yes,Personal
U00353,2022-02-23,Canada,Mobile,Yes,Personal
U00354,2022-04-30,Australia,Desktop,Yes,Personal
U00355,2023-11-04,USA,Desktop,Yes,Personal
U00356,2023-09-20,UK,Mobile,Yes,Personal
U00357,2023-08-10,Australia,Mobile,No,Business
U00358,2023-09-17,Australia,Mobile,Yes,Business
U00359,2023-02-24,Australia,Mobile,Yes,Personal
U00360,2023-02-26,India,Mobile,No,Personal
U00361,2022-04-14,USA,Desktop,Yes,Personal
U00362,2024-05-01,USA,Mobile,Yes,Personal
U00363,2022-09-11,Germany,Mobile,Yes,Personal
U00364,2022-08-15,India,Mobile,Yes,Personal
U00365,2022-04-22,Australia,Mobile,Yes,Personal
U00366,2023-05-25,Canada,Desktop,Yes,Personal
U00367,2023-04-18,India,Desktop,No,Personal
U00368,2022-04-09,India,Mobile,Yes,Business
U00369,2022-06-02,USA,Desktop,Yes,Personal
U00370,2024-05-10,Germany,Mobile,Yes,Business
U00371,2024-06-14,Germany,Mobile,Yes,Personal
U00372,2024-05-27,India,Mobile,No,Business
U00373,2022-12-04,India,Mobile,Yes,Personal
U00374,2023-12-07,UK,Mobile,Yes,Personal
U00375,2024-04-01,Australia,Mobile,Yes,Personal
U00376,2022-06-12,USA,Mobile,Yes,Personal
U00377,2023-12-21,Australia,Mobile,No,Personal
U00378,2023-11-12,Canada,Desktop,Yes,Personal
U00379,2022-06-10,Canada,Mobile,Yes,Personal
U00380,2023-08-03,Germany,Desktop,Yes,Personal
U00381,2024-03-11,USA,Mobile,Yes,Personal
U00382,2023-02-02,Australia,Desktop,No,Personal
U00383,2022-10-04,Germany,Mobile,Yes,Personal
U00384,2024-03-26,Canada,Mobile,Yes,Personal
U00385,2023-05-19,India,Mobile,No,Personal
U00386,2024-06-14,USA,Mobile,Yes,Personal
U00387,2023-01-27,USA,Desktop,Yes,Business
U00388,2022-05-15,Australia,Desktop,No,Business
U00389,2022-07-14,UK,Mobile,Yes,Personal
U00390,2023-02-05,Australia,Mobile,Yes,Personal
U00391,2023-10-02,India,Mobile,Yes,Personal
U00392,2022-02-02,India,Mobile,No,Personal
U00393,2023-11-19,Germany,Desktop,Yes,Personal
U00394,2023-04-05,USA,Mobile,No,Personal
U00395,2024-06-01,Germany,Mobile,Yes,Personal
U00396,2023-04-15,India,Mobile,Yes,Personal
U00397,2023-01-10,UK,Mobile,Yes,Personal
U00398,2022-01-22,USA,Desktop,Yes,Personal
U00399,2024-01-20,India,Mobile,Yes,Personal
U00400,2023-11-01,UK,Mobile,Yes,Personal
U00401,2022-02-07,Australia,Mobile,No,Personal
U00402,2022-08-18,Canada,Mobile,Yes,Business
U00403,2022-12-31,India,Mobile,Yes,Personal
U00404,2023-07-17,Canada,Desktop,No,Business
U00405,2023-03-14,Germany,Desktop,Yes,Personal
U00406,2024-02-15,Canada,Desktop,Yes,Personal
U00407,2022-10-10,India,Desktop,Yes,Personal
U00408,2022-01-27,Canada,Mobile,Yes,Personal
U00409,2022-08-14,USA,Mobile,Yes,Personal
U00410,2022-10-04,India,Mobile,No,Business
U00411,2024-03-08,UK,Desktop,Yes,Personal
U00412,2023-09-01,Canada,Desktop,Yes,Personal
U00413,2022-10-11,USA,Mobile,Yes,Personal
U00414,2024-05-28,Germany,Desktop,Yes,Personal
U00415,2023-04-26,Germany,Mobile,No,Personal
U00416,2023-03-29,Canada,Mobile,Yes,Business
U00417,2024-04-08,Germany,Mobile,No,Personal
U00418,2024-03-26,UK,Mobile,No,Personal
U00419,2023-10-21,India,Mobile,Yes,Personal
U00420,2023-05-31,USA,Mobile,Yes,Business
U00421,2023-07-01,Australia,Desktop,Yes,Personal
U00422,2022-07-11,Canada,Mobile,Yes,Personal
U00423,2022-02-18,Germany,Desktop,Yes,Personal
U00424,2023-05-27,India,Mobile,No,Personal
U00425,2022-01-17,Australia,Desktop,Yes,Personal
U00426,2022-06-21,UK,Desktop,Yes,Personal
U00427,2022-08-08,Germany,Desktop,Yes,Personal
U00428,2022-06-07,Germany,Mobile,Yes,Personal
U00429,2023-04-22,USA,Mobile,Yes,Business
U00430,2022-02-15,UK,Mobile,Yes,Personal
U00431,2023-01-08,UK,Mobile,Yes,Personal
U00432,2023-06-02,Canada,Mobile,Yes,Personal
U00433,2022-04-09,Australia,Mobile,Yes,Personal
U00434,2024-06-10,USA,Mobile,Yes,Personal
U00435,2024-01-15,Canada,Desktop,Yes,Personal
U00436,2022-02-06,USA,Mobile,No,Personal
U00437,2022-10-07,UK,Desktop,Yes,Personal
U00438,2022-12-15,USA,Mobile,Yes,Business
U00439,2023-05-12,USA,Mobile,Yes,Personal
U00440,2022-10-29,USA,Mobile,Yes,Personal
U00441,2022-06-30,India,Desktop,Yes,Personal
U00442,2023-08-30,India,Desktop,Yes,Personal
U00443,2022-04-09,Australia,Desktop,Yes,Personal
U00444,2023-12-01,Australia,Mobile,Yes,Personal
U00445,2022-04-26,UK,Mobile,No,Personal
U00446,2022-07-10,USA,Mobile,Yes,Business
U00447,2022-09-10,UK,Mobile,No,Personal
U00448,2022-06-10,India,Desktop,Yes,Personal
U00449,2022-09-13,USA,Desktop,Yes,Personal
U00450,2022-11-19,Canada,Mobile,Yes,Personal
U00451,2022-05-08,India,Desktop,Yes,Personal
U00452,2022-01-18,India,Mobile,Yes,Personal
U00453,2024-03-03,India,Mobile,No,Personal
U00454,2024-01-05,USA,Mobile,Yes,Personal
U00455,2023-07-20,Australia,Mobile,Yes,Personal
U00456,2023-07-24,Germany,Mobile,Yes,Personal
U00457,2022-11-19,Canada,Mobile,Yes,Personal
U00458,2024-05-21,Canada,Desktop,No,Personal
U00459,2023-11-17,UK,Mobile,Yes,Personal
U00460,2024-03-02,USA,Mobile,Yes,Personal
U00461,2023-09-18,Australia,Mobile,No,Business
U00462,2022-10-15,India,Desktop,Yes,Personal
U00463,2024-05-03,Germany,Mobile,Yes,Business
U00464,2023-10-25,USA,Desktop,Yes,Personal
U00465,2023-10-01,USA,Mobile,Yes,Personal
U00466,2022-06-04,Australia,Mobile,Yes,Personal
U00467,2023-05-05,Germany,Mobile,Yes,Business
U00468,2023-01-21,India,Mobile,Yes,Personal
U00469,2024-02-24,USA,Mobile,Yes,Personal
U00470,2022-04-14,Canada,Mobile,No,Personal
U00471,2023-01-28,Canada,Mobile,Yes,Personal
U00472,2024-03-21,Germany,Mobile,No,Personal
U00473,2022-09-03,India,Mobile,Yes,Personal
U00474,2022-06-25,Germany,Desktop,No,Personal
U00475,2022-02-08,USA,Desktop,Yes,Personal
U00476,2023-04-22,Canada,Desktop,Yes,Personal
U00477,2023-11-13,UK,Mobile,Yes,Personal
U00478,2024-01-29,Germany,Mobile,Yes,Personal
U00479,2023-06-22,UK,Desktop,Yes,Personal
U00480,2024-05-16,UK,Mobile,Yes,Personal
U00481,2024-03-28,Australia,Desktop,Yes,Personal
U00482,2023-02-12,Canada,Desktop,Yes,Personal
U00483,2023-06-09,Germany,Mobile,Yes,Business
U00484,2024-04-07,UK,Mobile,Yes,Personal
U00485,2023-05-21,USA,Desktop,Yes,Personal
U00486,2024-04-04,Australia,Desktop,Yes,Personal
U00487,2022-02-05,India,Desktop,No,Personal
U00488,2023-11-16,Australia,Mobile,Yes,Personal
U00489,2022-01-20,India,Mobile,Yes,Personal
U00490,2022-11-17,Canada,Mobile,Yes,Personal
U00491,2024-02-15,Germany,Mobile,Yes,Personal
U00492,2023-05-27,Germany,Mobile,No,Personal
U00493,2023-02-04,India,Desktop,Yes,Personal
U00494,2023-10-16,USA,Mobile,No,Personal
U00495,2024-06-01,India,Mobile,Yes,Business
U00496,2023-04-16,India,Mobile,Yes,Personal
U00497,2022-05-23,Germany,Mobile,Yes,Personal
U00498,2022-04-02,UK,Desktop,Yes,Personal
U00499,2022-12-20,USA,Desktop,Yes,Personal
U00500,2024-04-13,Germany,Mobile,Yes,Personal
U00501,2024-03-10,Australia,Mobile,Yes,Personal
U00502,2023-12-28,India,Mobile,Yes,Personal
U00503,2024-05-03,UK,Mobile,Yes,Personal
U00504,2022-02-20,USA,Mobile,Yes,Personal
U00505,2023-10-27,Canada,Mobile,No,Personal
U00506,2023-11-29,USA,Desktop,Yes,Personal
U00507,2023-07-29,USA,Mobile,No,Personal
U00508,2022-07-09,India,Mobile,Yes,Personal
U00509,2022-05-05,India,Mobile,Yes,Personal
U00510,2022-05-30,Canada,Desktop,Yes,Personal
U00511,2022-11-10,Canada,Desktop,No,Personal
U00512,2023-07-24,Canada,Desktop,Yes,Personal
U00513,2022-12-08,Germany,Mobile,Yes,Business
U00514,2022-11-01,Germany,Mobile,Yes,Personal
U00515,2023-11-23,India,Desktop,Yes,Personal
U00516,2023-11-13,India,Desktop,Yes,Personal
U00517,2024-04-17,Canada,Mobile,Yes,Business
U00518,2024-02-22,Germany,Mobile,No,Personal
U00519,2022-02-23,UK,Mobile,Yes,Personal
U00520,2023-03-20,Germany,Desktop,Yes,Personal
U00521,2023-09-05,India,Mobile,Yes,Personal
