chargeback_id,transaction_id,chargeback_date,reason,chargeback_amount
CB000046,T0142235,2023-09-25,Customer Dispute,446.46
CB000047,T0139137,2024-01-06,Fraud,363.08
CB000048,T0077727,2023-09-10,Customer Dispute,264.36
CB000049,T0198811,2023-07-19,Customer Dispute,134.84
CB000050,T0066401,2023-02-24,Fraud,187.45
CB000051,T0166159,2023-08-30,Customer Dispute,16.45
CB000052,T0188688,2023-02-09,Fraud,34.4
CB000053,T0150192,2023-12-09,Fraud,42.54
CB000054,T0163810,2024-07-04,Duplicate Transaction,387.26
CB000055,T0065430,2023-02-05,Customer Dispute,263.12
CB000056,T0181499,2023-10-23,Customer Dispute,108.21
CB000057,T0112317,2024-02-03,Fraud,106.02
CB000058,T0128745,2023-02-05,Customer Dispute,15.61
CB000059,T0068412,2023-04-30,Duplicate Transaction,199.04
CB000060,T0072465,2023-12-10,Fraud,52.95
CB000061,T0089987,2023-07-01,Customer Dispute,414.47
CB000062,T0160068,2023-10-11,Fraud,418.53
CB000063,T0101073,2023-11-26,Customer Dispute,425.02
CB000064,T0106474,2024-06-16,Duplicate Transaction,486.47
CB000065,T0009198,2023-11-07,Customer Dispute,370.75
CB000066,T0021615,2023-09-06,Fraud,244.27
CB000067,T0112235,2023-08-06,Customer Dispute,470.79
CB000068,T0098626,2024-03-16,Customer Dispute,89.74
CB000069,T0129879,2023-05-08,Customer Dispute,299.64
CB000070,T0066177,2023-04-12,Fraud,267.11
CB000071,T0010076,2024-04-27,Duplicate Transaction,251.63
CB000072,T0145013,2023-09-25,Customer Dispute,415.43
CB000073,T0054403,2023-02-16,Customer Dispute,184.01
CB000074,T0112813,2024-06-15,Duplicate Transaction,125.2
CB000075,T0002816,2023-10-07,Customer Dispute,199.94
CB000076,T0041260,2024-01-02,Fraud,26.21
CB000077,T0189058,2024-04-25,Duplicate Transaction,204.35
CB000078,T0188902,2023-08-20,Fraud,460.23
CB000079,T0167030,2024-01-07,Customer Dispute,379.82
CB000080,T0134553,2023-04-19,Customer Dispute,478.23
CB000081,T0092597,2024-06-19,Fraud,342.25
CB000082,T0178490,2024-07-20,Duplicate Transaction,366.8
CB000083,T0190727,2023-06-18,Fraud,440.07
CB000084,T0028291,2024-02-14,Fraud,67.42
CB000085,T0100164,2024-03-19,Customer Dispute,378.82
CB000086,T0112904,2023-02-10,Fraud,434.61
CB000087,T0180473,2024-05-11,Customer Dispute,175.1
CB000088,T0170637,2024-05-23,Duplicate Transaction,142.45
CB000089,T0088987,2023-07-28,Fraud,332.81
CB000090,T0146322,2023-09-01,Customer Dispute,307.6
CB000091,T0137860,2024-05-15,Customer Dispute,257.64
CB000092,T0143391,2023-09-30,Fraud,189.51
CB000093,T0171679,2023-11-24,Customer Dispute,446.67
CB000094,T0164775,2024-03-19,Fraud,271.2
CB000095,T0171403,2023-09-22,Fraud,490.44
CB000096,T0182092,2024-03-24,Fraud,111.5
CB000097,T0031930,2023-07-06,Duplicate Transaction,408.5
CB000098,T0078447,2023-06-24,Customer Dispute,416.03
CB000099,T0145115,2023-02-07,Fraud,431.63
CB000100,T0096762,2023-09-14,Customer Dispute,73.97
CB000101,T0153368,2023-03-01,Customer Dispute,146.94
CB000102,T0069029,2023-12-06,Customer Dispute,200.43
CB000103,T0006683,2024-04-22,Customer Dispute,8.5
CB000104,T0080570,2023-05-13,Fraud,95.3
CB000105,T0146280,2023-01-24,Fraud,364.09
CB000106,T0009571,2024-06-14,Customer Dispute,392.14
CB000107,T0138795,2024-02-13,Customer Dispute,467.22
CB000108,T0107075,2023-05-02,Fraud,187.37
CB000109,T0033645,2023-07-20,Fraud,119.08
CB000110,T0123496,2023-02-13,Fraud,29.73
CB000111,T0174673,2023-03-23,Fraud,64.36
CB000112,T0070580,2023-12-10,Customer Dispute,494.32
CB000113,T0179456,2023-12-19,Duplicate Transaction,435.21
CB000114,T0002676,2024-04-12,Fraud,419.76
CB000115,T0003746,2024-03-01,Customer Dispute,126.3
CB000116,T0126839,2024-01-22,Fraud,91.29
CB000117,T0185302,2023-05-31,Fraud,102.59
CB000118,T0033839,2023-12-19,Customer Dispute,144.13
CB000119,T0052781,2024-04-24,Customer Dispute,6.17
CB000120,T0161294,2023-07-30,Fraud,62.76
CB000121,T0121245,2024-01-31,Fraud,18.14
CB000122,T0043737,2023-10-23,Fraud,466.27
CB000123,T0141313,2024-01-14,Fraud,469.13
CB000124,T0122530,2023-05-15,Fraud,228.18
CB000125,T0147697,2023-09-15,Duplicate Transaction,413.1
CB000126,T0129029,2023-12-30,Fraud,376.61
CB000127,T0024357,2023-09-06,Fraud,58.27
CB000128,T0159378,2023-06-09,Fraud,233.45
CB000129,T0142052,2023-04-21,Duplicate Transaction,46.12
CB000130,T0056900,2024-05-21,Fraud,179.58
CB000131,T0011674,2024-01-15,Customer Dispute,418.09
CB000132,T0014543,2023-11-21,Customer Dispute,388.16
CB000133,T0044128,2024-01-25,Customer Dispute,138.03
CB000134,T0033363,2023-04-29,Fraud,464.32
CB000135,T0085451,2023-02-20,Customer Dispute,404.44
CB000136,T0172703,2023-02-15,Customer Dispute,351.58
CB000137,T0012409,2024-05-11,Customer Dispute,413.6
CB000138,T0182954,2024-07-09,Fraud,318.23
CB000139,T0107682,2023-08-20,Duplicate Transaction,217.88
CB000140,T0152039,2023-06-09,Customer Dispute,140.9
CB000141,T0192056,2023-06-15,Customer Dispute,125.74
CB000142,T0169962,2023-11-15,Fraud,342.67
CB000143,T0113761,2023-04-25,Fraud,127.58
CB000144,T0062580,2023-04-20,Customer Dispute,60.91
CB000145,T0120596,2024-06-20,Customer Dispute,61.73
CB000146,T0002003,2023-05-16,Fraud,43.76
CB000147,T0067775,2023-09-02,Customer Dispute,17.37
CB000148,T0100678,2023-06-06,Duplicate Transaction,353.23
CB000149,T0141970,2023-12-22,Fraud,86.47
CB000150,T0173668,2023-02-21,Customer Dispute,60.89
CB000151,T0107245,2023-12-04,Duplicate Transaction,427.0
CB000152,T0115627,2023-03-06,Duplicate Transaction,10.29
CB000153,T0039480,2023-01-21,Customer Dispute,155.93
CB000154,T0178621,2024-04-05,Fraud,62.68
CB000155,T0181149,2024-03-01,Customer Dispute,300.7
CB000156,T0037470,2023-06-02,Fraud,439.36
CB000157,T0113698,2024-07-19,Customer Dispute,68.43
CB000158,T0155350,2023-10-14,Duplicate Transaction,300.14
CB000159,T0183788,2024-04-24,Duplicate Transaction,486.42
CB000160,T0140994,2023-11-29,Fraud,51.54
CB000161,T0193734,2023-05-30,Fraud,251.15
CB000162,T0140571,2023-03-22,Fraud,207.78
CB000163,T0070505,2023-08-28,Duplicate Transaction,474.9
CB000164,T0101936,2023-10-15,Customer Dispute,73.43
CB000165,T0078058,2023-12-24,Customer Dispute,190.14
CB000166,T0101239,2024-03-16,Customer Dispute,493.34
CB000167,T0117569,2023-06-23,Customer Dispute,467.7
CB000168,T0041269,2024-04-04,Customer Dispute,200.83
CB000169,T0051624,2023-07-30,Customer Dispute,14.39
CB000170,T0121774,2023-08-12,Fraud,211.79
CB000171,T0031070,2024-01-17,Fraud,369.74
CB000172,T0152849,2023-03-09,Customer Dispute,297.09
CB000173,T0165500,2023-02-08,Customer Dispute,232.62
CB000174,T0134684,2023-09-11,Customer Dispute,71.54
CB000175,T0168490,2023-04-27,Fraud,281.58
CB000176,T0149024,2023-11-25,Customer Dispute,274.95
CB000177,T0001854,2023-09-01,Fraud,125.61
CB000178,T0108865,2023-02-23,Duplicate Transaction,367.44
CB000179,T0033043,2023-11-14,Fraud,182.78
CB000180,T0103759,2023-12-09,Customer Dispute,70.57
CB000181,T0024500,2024-03-08,Duplicate Transaction,185.99
CB000182,T0037184,2023-05-06,Customer Dispute,94.17
CB000183,T0141648,2024-06-30,Duplicate Transaction,216.71
CB000184,T0093811,2024-06-18,Fraud,459.93
CB000185,T0006030,2024-02-03,Customer Dispute,306.05
CB000186,T0169151,2024-02-27,Customer Dispute,197.42
CB000187,T0167515,2023-10-27,Customer Dispute,116.32
CB000188,T0126671,2024-02-12,Customer Dispute,435.67
CB000189,T0046602,2024-06-23,Fraud,68.68
CB000190,T0147139,2024-04-14,Customer Dispute,494.3
CB000191,T0069086,2023-11-08,Duplicate Transaction,379.22
CB000192,T0188876,2024-01-05,Duplicate Transaction,432.39
CB000193,T0138413,2023-09-27,Fraud,165.02
CB000194,T0162816,2024-07-16,Fraud,328.4
CB000195,T0129242,2023-09-03,Customer Dispute,140.57
CB000196,T0155996,2024-03-06,Fraud,145.3
CB000197,T0146736,2024-04-22,Fraud,88.45
CB000198,T0155059,2023-08-12,Duplicate Transaction,212.58
CB000199,T0084371,2023-05-12,Fraud,150.43
CB000200,T0155396,2024-02-15,Fraud,272.82
CB000201,T0056611,2023-01-28,Customer Dispute,267.84
CB000202,T0026147,2023-03-14,Customer Dispute,245.1
CB000203,T0028419,2023-09-03,Fraud,407.12
CB000204,T0079094,2024-04-15,Fraud,286.81
CB000205,T0194821,2023-02-25,Customer Dispute,409.88
CB000206,T0149808,2024-02-16,Customer Dispute,486.93
CB000207,T0045724,2023-04-28,Fraud,406.72
CB000208,T0184500,2024-07-13,Customer Dispute,353.96
CB000209,T0157290,2023-06-19,Duplicate Transaction,30.77
CB000210,T0010860,2023-03-03,Fraud,167.76
CB000211,T0128658,2023-03-13,Customer Dispute,318.4
CB000212,T0042855,2023-06-10,Duplicate Transaction,165.07
CB000213,T0134854,2023-03-18,Customer Dispute,269.25
CB000214,T0142263,2023-07-07,Fraud,424.93
CB000215,T0049012,2023-05-06,Fraud,233.16
CB000216,T0029245,2024-06-21,Duplicate Transaction,30.14
CB000217,T0075584,2023-04-26,Customer Dispute,118.91
CB000218,T0073844,2023-10-28,Fraud,240.96
CB000219,T0097862,2023-12-07,Customer Dispute,466.48
CB000220,T0130937,2023-10-17,Customer Dispute,20.14
CB000221,T0047927,2023-03-02,Customer Dispute,345.2
CB000222,T0017311,2024-04-23,Customer Dispute,409.69
CB000223,T0051452,2024-07-13,Duplicate Transaction,354.95
CB000224,T0161760,2023-02-03,Fraud,396.53
CB000225,T0140065,2023-07-01,Fraud,231.76
CB000226,T0157960,2023-03-08,Customer Dispute,54.22
CB000227,T0053621,2023-05-19,Customer Dispute,293.99
CB000228,T0067902,2023-05-14,Fraud,301.96
CB000229,T0181858,2023-09-12,Duplicate Transaction,176.54
CB000230,T0141983,2024-04-01,Fraud,177.88
CB000231,T0181491,2023-11-22,Fraud,8.74
CB000232,T0181885,2024-05-09,Customer Dispute,277.71
CB000233,T0093379,2023-06-06,Customer Dispute,305.52
CB000234,T0137111,2024-05-20,Fraud,311.37
CB000235,T0025354,2023-08-21,Fraud,123.75
CB000236,T0162386,2023-06-12,Customer Dispute,152.93
CB000237,T0038953,2024-01-30,Fraud,210.02
CB000238,T0059478,2023-09-26,Fraud,42.91
CB000239,T0143245,2024-02-28,Customer Dispute,477.07
CB000240,T0142792,2023-11-10,Customer Dispute,345.59
CB000241,T0099578,2023-05-10,Duplicate Transaction,23.79
CB000242,T0038172,2023-03-10,Customer Dispute,229.09
CB000243,T0138978,2023-04-16,Fraud,6.44
CB000244,T0104045,2024-02-03,Customer Dispute,356.98
CB000245,T0043807,2024-03-02,Customer Dispute,260.12
CB000246,T0078426,2024-02-14,Customer Dispute,335.25
CB000247,T0108229,2023-02-17,Duplicate Transaction,70.03
CB000248,T0189988,2023-08-06,Fraud,247.2
CB000249,T0150078,2024-06-07,Customer Dispute,167.31
CB000250,T0019101,2024-05-14,Customer Dispute,427.44
CB000251,T0157926,2023-11-22,Fraud,486.58
CB000252,T0136873,2023-10-01,Fraud,354.93
CB000253,T0134507,2023-11-22,Fraud,167.84
CB000254,T0071364,2023-02-09,Fraud,143.01
CB000255,T0123890,2023-03-18,Customer Dispute,478.36
CB000256,T0087442,2024-06-10,Fraud,283.36
CB000257,T0189052,2024-03-25,Fraud,400.26
CB000258,T0174161,2024-01-01,Customer Dispute,110.68
CB000259,T0147164,2023-11-09,Fraud,169.44
CB000260,T0118765,2023-10-12,Customer Dispute,277.06
CB000261,T0159190,2023-10-31,Fraud,476.68
CB000262,T0004190,2023-02-20,Customer Dispute,356.35
CB000263,T0013067,2023-11-10,Fraud,482.36
CB000264,T0199798,2023-04-15,Duplicate Transaction,489.72
CB000265,T0069039,2023-09-23,Fraud,492.47
CB000266,T0065508,2024-03-22,Customer Dispute,418.22
CB000267,T0020469,2024-05-29,Fraud,307.42
CB000268,T0049852,2024-05-23,Customer Dispute,51.93
CB000269,T0046885,2023-05-31,Duplicate Transaction,87.68
CB000270,T0177339,2024-01-17,Customer Dispute,440.75
CB000271,T0060001,2023-08-02,Fraud,116.96
CB000272,T0067590,2023-06-01,Customer Dispute,133.38
CB000273,T0198521,2024-03-23,Customer Dispute,142.46
CB000274,T0093430,2023-08-25,Fraud,130.68
CB000275,T0156323,2023-11-07,Duplicate Transaction,447.94
CB000276,T0060686,2024-05-27,Customer Dispute,426.21
CB000277,T0055961,2024-07-21,Fraud,377.3
CB000278,T0161639,2023-11-27,Fraud,397.99
CB000279,T0156958,2024-01-14,Fraud,363.15
CB000280,T0125750,2023-08-26,Fraud,496.72
CB000281,T0096289,2024-05-26,Duplicate Transaction,377.86
CB000282,T0188209,2024-06-24,Fraud,414.64
CB000283,T0039437,2023-01-30,Customer Dispute,194.77
CB000284,T0029850,2023-09-23,Fraud,386.54
CB000285,T0078308,2023-07-17,Customer Dispute,162.72
CB000286,T0107696,2024-04-08,Fraud,367.05
CB000287,T0062419,2023-11-09,Fraud,127.35
CB000288,T0083228,2024-03-24,Customer Dispute,495.55
CB000289,T0192729,2024-01-22,Customer Dispute,155.96
CB000290,T0078563,2024-05-06,Fraud,166.35
CB000291,T0149500,2023-04-21,Duplicate Transaction,384.34
CB000292,T0155602,2023-07-29,Duplicate Transaction,168.92
CB000293,T0170548,2023-11-26,Duplicate Transaction,152.69
CB000294,T0096797,2024-05-19,Customer Dispute,213.76
CB000295,T0096424,2024-04-16,Customer Dispute,145.2
CB000296,T0040552,2023-07-19,Customer Dispute,452.02
CB000297,T0109058,2023-10-21,Duplicate Transaction,172.39
CB000298,T0026482,2024-01-15,Fraud,255.53
CB000299,T0076092,2024-03-24,Fraud,415.9
CB000300,T0106639,2023-08-18,Fraud,6.3
CB000301,T0031556,2023-12-06,Customer Dispute,101.97
CB000302,T0011251,2023-01-10,Fraud,196.98
CB000303,T0130177,2024-02-07,Fraud,78.41
CB000304,T0194208,2023-09-24,Fraud,313.93
CB000305,T0185557,2023-04-04,Fraud,285.24
CB000306,T0106525,2024-04-16,Duplicate Transaction,226.79
CB000307,T0104095,2023-12-30,Fraud,68.43
CB000308,T0101161,2023-04-04,Fraud,312.49
CB000309,T0115989,2023-08-23,Duplicate Transaction,127.4
CB000310,T0192576,2023-06-07,Customer Dispute,82.46
CB000311,T0141514,2023-02-24,Fraud,275.68
CB000312,T0175413,2023-09-09,Customer Dispute,401.46
CB000313,T0006541,2023-12-29,Customer Dispute,474.75
CB000314,T0185597,2023-07-10,Fraud,312.98
CB000315,T0027356,2024-04-17,Fraud,378.01
CB000316,T0062762,2024-07-11,Customer Dispute,271.87
CB000317,T0090907,2023-06-16,Fraud,256.68
CB000318,T0043209,2024-05-31,Customer Dispute,207.89
CB000319,T0026646,2024-02-28,Customer Dispute,11.09
CB000320,T0133434,2024-05-13,Fraud,205.8
CB000321,T0198953,2024-04-25,Customer Dispute,271.76
CB000322,T0088859,2023-03-12,Fraud,490.84
CB000323,T0166788,2024-05-13,Fraud,418.99
CB000324,T0151212,2023-06-20,Fraud,148.1
CB000325,T0068459,2023-03-13,Duplicate Transaction,263.57
CB000326,T0081919,2024-05-08,Fraud,46.2
CB000327,T0053690,2024-05-22,Customer Dispute,198.74
CB000328,T0104232,2024-02-27,Fraud,410.13
CB000329,T0170984,2023-02-17,Customer Dispute,392.67
CB000330,T0146549,2024-01-02,Customer Dispute,121.63
CB000331,T0096370,2024-02-14,Duplicate Transaction,225.24
CB000332,T0078666,2024-04-04,Customer Dispute,320.33
CB000333,T0051822,2023-12-30,Customer Dispute,21.43
CB000334,T0095721,2024-04-05,Fraud,449.38
CB000335,T0049766,2024-03-31,Customer Dispute,199.49
CB000336,T0069996,2023-08-10,Customer Dispute,89.62
CB000337,T0014974,2024-04-26,Customer Dispute,429.46
CB000338,T0046464,2023-02-18,Fraud,479.09
CB000339,T0099805,2023-08-17,Customer Dispute,455.81
CB000340,T0001458,2024-03-03,Duplicate Transaction,238.66
CB000341,T0079899,2023-02-28,Customer Dispute,458.76
CB000342,T0061807,2023-05-22,Customer Dispute,145.66
CB000343,T0019488,2023-07-10,Customer Dispute,291.95
CB000344,T0137823,2024-06-06,Customer Dispute,108.82
CB000345,T0145776,2023-12-13,Fraud,339.92
CB000346,T0197863,2023-04-14,Fraud,200.37
CB000347,T0052193,2023-11-11,Duplicate Transaction,77.81
CB000348,T0168246,2023-08-31,Customer Dispute,448.49
CB000349,T0077799,2023-03-14,Customer Dispute,384.43
CB000350,T0125631,2023-11-28,Customer Dispute,34.15
CB000351,T0056211,2024-07-05,Customer Dispute,286.16
CB000352,T0103687,2023-08-29,Fraud,328.79
CB000353,T0089108,2023-12-28,Customer Dispute,341.93
CB000354,T0156792,2023-07-14,Fraud,279.04
CB000355,T0178820,2023-11-18,Fraud,166.93
CB000356,T0082309,2024-04-11,Customer Dispute,473.68
CB000357,T0070104,2024-01-11,Customer Dispute,460.18
CB000358,T0141161,2023-05-12,Customer Dispute,445.05
CB000359,T0029455,2024-02-19,Duplicate Transaction,394.37
CB000360,T0154804,2024-07-02,Fraud,85.09
CB000361,T0180818,2023-02-23,Fraud,497.44
CB000362,T0125855,2023-11-23,Customer Dispute,162.63
CB000363,T0096913,2023-01-16,Duplicate Transaction,83.36
CB000364,T0167757,2024-02-17,Fraud,269.02
CB000365,T0005961,2024-01-19,Customer Dispute,231.92
CB000366,T0183030,2023-07-26,Duplicate Transaction,473.21
CB000367,T0088582,2023-12-22,Customer Dispute,144.36
CB000368,T0187189,2023-04-19,Fraud,50.15
CB000369,T0026045,2023-03-13,Fraud,437.92
CB000370,T0120407,2024-02-12,Customer Dispute,399.64
CB000371,T0075359,2023-10-25,Fraud,142.67
CB000372,T0104679,2023-04-18,Fraud,36.08
CB000373,T0101942,2023-04-21,Customer Dispute,465.95
CB000374,T0050154,2023-09-23,Fraud,68.76
CB000375,T0029967,2024-05-11,Fraud,330.12
CB000376,T0082711,2023-07-19,Fraud,129.28
CB000377,T0169930,2023-12-18,Customer Dispute,303.67
CB000378,T0181285,2023-07-23,Customer Dispute,83.07
CB000379,T0090419,2024-06-06,Customer Dispute,282.99
CB000380,T0054667,2023-04-19,Customer Dispute,150.84
CB000381,T0149485,2023-03-30,Duplicate Transaction,371.6
CB000382,T0178728,2023-10-24,Fraud,283.42
CB000383,T0032756,2023-08-29,Customer Dispute,112.87
CB000384,T0000239,2023-12-27,Customer Dispute,451.47
CB000385,T0183477,2023-09-21,Customer Dispute,374.82
CB000386,T0007816,2024-02-26,Fraud,136.13
CB000387,T0185034,2024-06-22,Fraud,215.92
CB000388,T0049979,2024-03-19,Fraud,192.92
CB000389,T0198726,2023-11-07,Fraud,243.14
CB000390,T0038331,2023-03-29,Fraud,432.29
CB000391,T0038607,2023-07-17,Fraud,100.24
CB000392,T0190255,2023-04-16,Customer Dispute,148.99
CB000393,T0190795,2023-08-24,Fraud,496.92
CB000394,T0181160,2024-01-02,Customer Dispute,6.07
CB000395,T0052549,2023-09-12,Customer Dispute,366.33
CB000396,T0169879,2024-06-01,Fraud,436.18
CB000397,T0058806,2023-06-10,Fraud,440.51
CB000398,T0082020,2023-06-08,Fraud,288.48
CB000399,T0149568,2024-06-06,Customer Dispute,347.98
CB000400,T0176736,2023-06-09,Fraud,264.56
CB000401,T0160821,2023-03-07,Customer Dispute,333.9
CB000402,T0194875,2023-04-25,Customer Dispute,384.9
CB000403,T0114628,2023-06-09,Fraud,476.75
CB000404,T0149410,2023-05-19,Duplicate Transaction,217.41
CB000405,T0188380,2024-03-08,Duplicate Transaction,296.23
CB000406,T0175644,2024-05-24,Fraud,80.71
CB000407,T0009660,2023-09-07,Customer Dispute,60.19
CB000408,T0186878,2023-10-01,Fraud,114.7
CB000409,T0076803,2024-02-19,Customer Dispute,461.97
CB000410,T0180789,2024-01-29,Customer Dispute,491.96
CB000411,T0144646,2024-01-17,Fraud,383.68
CB000412,T0106452,2023-09-23,Fraud,350.47
CB000413,T0141274,2024-01-14,Fraud,365.23
CB000414,T0083979,2023-01-18,Fraud,322.85
CB000415,T0195171,2023-02-26,Duplicate Transaction,253.64
CB000416,T0045466,2023-07-18,Duplicate Transaction,67.27
CB000417,T0153724,2023-10-14,Customer Dispute,24.3
CB000418,T0140366,2023-04-18,Customer Dispute,392.85
CB000419,T0094226,2023-05-13,Duplicate Transaction,161.66
CB000420,T0136136,2023-08-13,Customer Dispute,107.59
CB000421,T0069532,2024-02-12,Customer Dispute,423.36
CB000422,T0108888,2023-11-06,Customer Dispute,378.09
CB000423,T0018923,2024-03-10,Fraud,50.36
CB000424,T0087866,2023-04-27,Fraud,364.01
CB000425,T0086980,2023-06-08,Customer Dispute,302.08
CB000426,T0004735,2024-03-31,Duplicate Transaction,299.09
CB000427,T0018851,2023-11-22,Fraud,85.53
CB000428,T0034249,2023-09-27,Customer Dispute,269.95
CB000429,T0023512,2023-01-12,Fraud,432.66
CB000430,T0183894,2023-06-16,Duplicate Transaction,402.86
CB000431,T0114966,2023-02-23,Customer Dispute,119.25
CB000432,T0162654,2023-09-14,Customer Dispute,163.94
CB000433,T0136304,2023-10-10,Duplicate Transaction,234.83
CB000434,T0190433,2023-06-27,Customer Dispute,173.7
CB000435,T0054586,2023-10-27,Customer Dispute,312.2
CB000436,T0072200,2023-11-15,Fraud,413.42
CB000437,T0171147,2023-01-29,Duplicate Transaction,19.21
CB000438,T0123351,2023-10-25,Duplicate Transaction,183.17
CB000439,T0106921,2024-01-17,Fraud,366.65
CB000440,T0107036,2024-05-06,Duplicate Transaction,46.97
CB000441,T0120679,2023-03-19,Customer Dispute,126.28
CB000442,T0017588,2023-12-03,Customer Dispute,415.5
CB000443,T0181296,2024-02-18,Fraud,229.9
CB000444,T0018295,2023-04-01,Fraud,80.79
CB000445,T0114358,2024-06-26,Customer Dispute,430.87
CB000446,T0163324,2023-10-29,Customer Dispute,309.43
CB000447,T0013132,2024-01-19,Duplicate Transaction,245.04
CB000448,T0016903,2024-07-04,Duplicate Transaction,305.47
CB000449,T0156526,2023-05-26,Fraud,198.59
CB000450,T0153694,2023-12-11,Fraud,318.38
CB000451,T0017050,2023-04-14,Customer Dispute,189.49
CB000452,T0055911,2023-06-13,Fraud,61.77
CB000453,T0003955,2023-01-25,Fraud,28.02
CB000454,T0081660,2023-04-08,Fraud,428.82
CB000455,T0009015,2023-04-08,Fraud,241.9
CB000456,T0167137,2024-01-24,Customer Dispute,145.16
CB000457,T0018847,2023-10-09,Fraud,445.72
CB000458,T0081505,2023-08-04,Customer Dispute,297.05
CB000459,T0173561,2023-05-22,Customer Dispute,51.79
CB000460,T0115003,2024-01-05,Customer Dispute,415.72
CB000461,T0135913,2023-12-13,Customer Dispute,166.31
CB000462,T0046950,2023-05-05,Fraud,182.41
CB000463,T0125330,2023-11-24,Fraud,166.1
CB000464,T0145961,2024-05-01,Duplicate Transaction,423.69
CB000465,T0043680,2023-03-18,Duplicate Transaction,191.5
CB000466,T0101943,2024-02-06,Duplicate Transaction,368.7
CB000467,T0082977,2024-01-26,Duplicate Transaction,91.24
CB000468,T0169663,2023-10-04,Fraud,458.2
CB000469,T0191754,2024-01-05,Customer Dispute,337.8
CB000470,T0119553,2024-02-01,Duplicate Transaction,91.49
CB000471,T0002380,2023-11-08,Duplicate Transaction,296.9
CB000472,T0058282,2023-05-18,Customer Dispute,157.43
CB000473,T0165060,2023-03-21,Customer Dispute,288.84
CB000474,T0048584,2024-06-15,Fraud,380.63
CB000475,T0097971,2023-02-22,Customer Dispute,225.71
CB000476,T0171635,2023-06-19,Customer Dispute,474.31
CB000477,T0030419,2023-04-15,Customer Dispute,72.81
CB000478,T0197926,2023-09-19,Customer Dispute,336.24
CB000479,T0198058,2023-08-13,Fraud,250.29
CB000480,T0173553,2023-04-06,Fraud,372.57
CB000481,T0020062,2023-06-08,Customer Dispute,449.47
CB000482,T0199893,2023-09-22,Fraud,197.94
CB000483,T0164777,2023-05-27,Fraud,398.54
CB000484,T0046712,2023-09-15,Fraud,490.39
CB000485,T0045816,2023-03-16,Customer Dispute,314.09
CB000486,T0149470,2024-05-23,Customer Dispute,73.57
CB000487,T0198752,2024-02-13,Customer Dispute,386.36
CB000488,T0142132,2023-01-15,Fraud,56.68
CB000489,T0161796,2024-02-08,Fraud,52.14
CB000490,T0193320,2023-10-26,Fraud,128.64
CB000491,T0028922,2024-05-06,Duplicate Transaction,48.1
CB000492,T0151570,2024-03-19,Fraud,385.01
CB000493,T0050844,2023-07-19,Duplicate Transaction,319.09
CB000494,T0054662,2023-09-20,Customer Dispute,297.82
CB000495,T0107405,2023-11-11,Fraud,125.0
CB000496,T0033332,2023-09-29,Duplicate Transaction,49.82
